"Step","fold4 - val_dice_esophagus","fold4 - val_dice_esophagus__MIN","fold4 - val_dice_esophagus__MAX","fold3 - val_dice_esophagus","fold3 - val_dice_esophagus__MIN","fold3 - val_dice_esophagus__MAX","fold2 - val_dice_esophagus","fold2 - val_dice_esophagus__MIN","fold2 - val_dice_esophagus__MAX","fold1 - val_dice_esophagus","fold1 - val_dice_esophagus__MIN","fold1 - val_dice_esophagus__MAX","fold0 - val_dice_esophagus","fold0 - val_dice_esophagus__MIN","fold0 - val_dice_esophagus__MAX"
"55","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"60","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"65","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"70","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"75","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"80","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"85","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"90","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"95","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"100","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"105","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"110","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"115","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"120","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"125","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"130","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"135","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"140","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"145","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"150","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"155","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"160","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"165","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"170","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"175","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"180","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"185","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"190","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"195","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
"200","2.720534138113008e-10","2.720534138113008e-10","2.720534138113008e-10","4.183304318748592e-10","4.183304318748592e-10","4.183304318748592e-10","0.2500000001690613","0.2500000001690613","0.2500000001690613","2.2306342242581958e-10","2.2306342242581958e-10","2.2306342242581958e-10","3.497292155895321e-10","3.497292155895321e-10","3.497292155895321e-10"
